text,intent
"Time to warm up, turn on the heater.",heater_on
"It's cold, turn on the heater.",heater_on
"Can you adjust the thermostat to heat the room?",heater_on
"I want to feel warmer, turn on the heater.",heater_on
"It's freezing, turn on the heater.",heater_on
"Switch on the heater, I'm feeling cold.",heater_on
"Turn off the heater in the bedroom.",heater_off
"Please switch off the heater in the living room.",heater_off
"It's warm now, can you turn off the heater?",heater_off
"Deactivate the heater in the office, please.",heater_off
"Time to cool down, turn off the heater.",heater_off
"It's too hot, turn off the heater.",heater_off
"Can you adjust the thermostat to turn off the heater?",heater_off
"I want to lower the temperature, turn off the heater.",heater_off
"It's comfortable now, turn off the heater.",heater_off
"Switch off the heater, it's too warm.",heater_off
"Turn on the multiplug in the bedroom.",multiplug_on
"Please switch on the multiplug in the living room.",multiplug_on
"It's time to power up, can you turn on the multiplug?",multiplug_on
"Activate the multiplug in the office, please.",multiplug_on
"Time to plug in, turn on the multiplug.",multiplug_on
"It's power time, switch on the multiplug.",multiplug_on
"Can you activate the power strip?",multiplug_on
"I want to charge my devices, turn on the multiplug.",multiplug_on
"It's time to connect, switch on the multiplug.",multiplug_on
"Turn on the multiplug, I need to use some appliances.",multiplug_on
"Turn off the multiplug in the bedroom.",multiplug_off
"Please switch off the multiplug in the living room.",multiplug_off
"It's time to power down, can you turn off the multiplug?",multiplug_off
"Deactivate the multiplug in the office, please.",multiplug_off
"Time to unplug, turn off the multiplug.",multiplug_off
"It's time to disconnect, switch off the multiplug.",multiplug_off
"Can you deactivate the power strip?",multiplug_off
"I want to stop charging, turn off the multiplug.",multiplug_off
"It's time to unplug devices, switch off the multiplug.",multiplug_off
"Turn off the multiplug, I don't need any appliances.",multiplug_off
"Turn on the TV in the bedroom.",tv_on
"Please switch on the TV in the living room.",tv_on
"It's time to watch TV, can you turn on the TV?",tv_on
"Activate the TV in the office, please.",tv_on
"It's movie night, turn on the TV.",tv_on
"Can you flip the switch to turn on the TV?",tv_on
"Time to catch up on shows, switch on the TV.",tv_on
"I want to relax and watch TV, turn on the TV.",tv_on
"It's time for entertainment, turn on the TV.",tv_on
"Switch on the TV, I want to see the news.",tv_on
"Turn off the TV in the bedroom.",tv_off
"Please switch off the TV in the living room.",tv_off
"It's time to sleep, can you turn off the TV?",tv_off
"Deactivate the TV in the office, please.",tv_off
"It's bedtime, turn off the TV.",tv_off
"Can you flip the switch to turn off the TV?",tv_off
"Time to relax without TV, switch off the TV.",tv_off
"I want some peace and quiet, turn off the TV.",tv_off
"It's time to save energy, turn off the TV.",tv_off
"Switch off the TV, I'm done watching.",tv_off


